DATE,NEWCASES
30/03/2020,320
31/03/2020,1155
01/04/2020,1096
02/04/2020,1055
03/04/2020,1184
04/04/2020,1203
05/04/2020,834
06/04/2020,934
07/04/2020,1796
08/04/2020,2175
09/04/2020,1844
10/04/2020,1844
11/04/2020,1088
12/04/2020,1387
13/04/2020,1395
14/04/2020,1767
15/04/2020,3161
16/04/2020,1913
17/04/2020,3292
18/04/2020,2973
19/04/2020,1949
20/04/2020,1928
21/04/2020,2515
22/04/2020,2845
23/04/2020,3715
24/04/2020,3733
25/04/2020,5525
26/04/2020,3235
27/04/2020,4333
28/04/2020,5605
29/04/2020,6267
30/04/2020,7091
01/05/2020,6081
02/05/2020,4954
03/05/2020,4668
04/05/2020,6552
05/05/2020,6931
06/05/2020,10502
07/05/2020,9875
08/05/2020,10219
09/05/2020,10608
10/05/2020,6759
11/05/2020,5623
12/05/2020,9259
13/05/2020,11380
14/05/2020,13891
15/05/2020,15285
16/05/2020,14799
17/05/2020,7931
18/05/2020,13113
19/05/2020,15952
20/05/2020,19947
21/05/2020,18356
22/05/2020,20777
23/05/2020,16348
24/05/2020,15954
25/05/2020,11679
26/05/2020,16324
27/05/2020,20588
28/05/2020,26411
29/05/2020,27493
30/05/2020,32664
31/05/2020,15724
01/06/2020,12246
02/06/2020,28886
03/06/2020,28630
04/06/2020,30921
05/06/2020,30819
06/06/2020,27038
07/06/2020,18893
08/06/2020,15564
09/06/2020,31964
10/06/2020,32846
11/06/2020,30399
12/06/2020,25980
13/06/2020,21693
14/06/2020,17109
15/06/2020,20626
16/06/2020,34778
17/06/2020,32119
18/06/2020,22755
19/06/2020,54568
20/06/2020,34647
21/06/2020,17446
22/06/2020,21416
23/06/2020,39425
24/06/2020,42565
25/06/2020,39474
26/06/2020,46721
27/06/2020,38655
28/06/2020,30454
29/06/2020,24043
30/06/2020,33802
01/07/2020,46707
02/07/2020,48019
03/07/2020,42215
04/07/2020,37899
05/07/2020,26019
06/07/2020,20208
07/07/2020,45138
08/07/2020,44317
09/07/2020,42483
10/07/2020,45035
11/07/2020,39005
12/07/2020,24820
13/07/2020,20271
14/07/2020,41814
15/07/2020,39915
16/07/2020,45345
17/07/2020,34136
18/07/2020,28222
19/07/2020,23517
20/07/2020,20256
21/07/2020,40937
22/07/2020,67740
23/07/2020,59916
24/07/2020,55769
25/07/2020,50973
26/07/2020,24568
27/07/2020,23281
28/07/2020,40769
29/07/2020,69018
30/07/2020,57695
31/07/2020,52353
01/08/2020,45361
02/08/2020,25765
03/08/2020,16641
04/08/2020,51586
05/08/2020,57001
06/08/2020,53113
07/08/2020,49407
08/08/2020,49957
09/08/2020,23005
10/08/2020,22035
11/08/2020,52087
12/08/2020,54959
13/08/2020,60055
14/08/2020,50630
15/08/2020,41548
16/08/2020,23085
17/08/2020,19343
18/08/2020,47753
19/08/2020,48989
20/08/2020,45313
21/08/2020,30326
22/08/2020,50011
23/08/2020,23414
24/08/2020,17065
25/08/2020,47033
26/08/2020,47041
27/08/2020,44042
28/08/2020,43390
29/08/2020,41332
30/08/2020,16149
31/08/2020,45915
01/09/2020,42647
02/09/2020,46681
03/09/2020,43758
04/09/2020,51154
05/09/2020,30133
06/09/2020,14483
07/09/2020,10252
08/09/2020,14254
09/09/2020,35801
10/09/2020,40499
11/09/2020,43668
12/09/2020,33521
13/09/2020,14756
14/09/2020,15149
15/09/2020,36546
16/09/2020,36695
17/09/2020,36285
18/09/2020,39650
19/09/2020,32938
20/09/2020,16388
21/09/2020,13434
22/09/2020,33494
23/09/2020,33262
24/09/2020,32689
25/09/2020,31883
26/09/2020,28345
27/09/2020,14306
28/09/2020,13150
29/09/2020,31907
30/09/2020,33349
01/10/2020,36039
02/10/2020,33410
03/10/2020,26255
04/10/2020,8452
05/10/2020,11944
06/10/2020,41868
07/10/2020,31536
08/10/2020,27736
09/10/2020,27425
10/10/2020,26733
11/10/2020,12323
12/10/2020,8337
13/10/2020,10216
14/10/2020,27130
15/10/2020,28513
16/10/2020,30905
17/10/2020,24050
18/10/2020,10889
19/10/2020,15352
20/10/2020,23193
21/10/2020,24813
22/10/2020,24725
23/10/2020,29995
24/10/2020,26954
25/10/2020,13439
26/10/2020,15651
