DATE,NEW CASES
16/03/2020,12
17/03/2020,18
18/03/2020,27
19/03/2020,26
20/03/2020,47
21/03/2020,35
22/03/2020,30
23/03/2020,66
24/03/2020,113
25/03/2020,62
26/03/2020,10
27/03/2020,48
28/03/2020,69
29/03/2020,94
30/03/2020,96
31/03/2020,108
01/04/2020,159
02/04/2020,96
03/04/2020,106
04/04/2020,106
05/04/2020,79
06/04/2020,94
07/04/2020,201
08/04/2020,274
09/04/2020,169
10/04/2020,250
11/04/2020,236
12/04/2020,67
13/04/2020,76
14/04/2020,127
15/04/2020,126
16/04/2020,128
17/04/2020,206
18/04/2020,182
19/04/2020,171
20/04/2020,185
21/04/2020,172
22/04/2020,207
23/04/2020,205
24/04/2020,320
25/04/2020,261
26/04/2020,237
27/04/2020,218
28/04/2020,352
29/04/2020,262
30/04/2020,296
01/05/2020,499
02/05/2020,279
03/05/2020,383
04/05/2020,305
05/05/2020,640
06/05/2020,346
07/05/2020,497
08/05/2020,595
09/05/2020,444
10/05/2020,568
11/05/2020,550
12/05/2020,659
13/05/2020,658
14/05/2020,680
15/05/2020,606
16/05/2020,723
17/05/2020,635
18/05/2020,721
19/05/2020,640
20/05/2020,752
21/05/2020,643
22/05/2020,801
23/05/2020,1046
24/05/2020,998
25/05/2020,806
26/05/2020,1022
27/05/2020,1101
28/05/2020,1262
29/05/2020,1322
30/05/2020,1548
31/05/2020,1147
01/06/2020,1110
02/06/2020,1340
03/06/2020,1521
04/06/2020,1766
05/06/2020,1515
06/06/2020,1392
07/06/2020,1209
08/06/2020,1483
09/06/2020,1359
10/06/2020,1604
11/06/2020,1530
12/06/2020,1646
13/06/2020,1888
14/06/2020,2193
15/06/2020,2124
16/06/2020,1868
17/06/2020,2115
18/06/2020,3171
19/06/2020,3059
20/06/2020,2357
21/06/2020,3019
22/06/2020,2531
23/06/2020,2389
24/06/2020,3541
25/06/2020,3486
26/06/2020,3843
27/06/2020,4149
28/06/2020,3178
29/06/2020,3274
30/06/2020,2803
01/07/2020,4163
02/07/2020,4101
03/07/2020,3395
04/07/2020,3884
05/07/2020,3721
06/07/2020,3171
07/07/2020,4213
08/07/2020,4144
09/07/2020,5335
10/07/2020,6803
11/07/2020,4586
12/07/2020,5083
13/07/2020,3832
14/07/2020,5621
15/07/2020,5271
16/07/2020,8037
17/07/2020,8934
18/07/2020,8560
19/07/2020,6578
20/07/2020,6727
21/07/2020,7033
22/07/2020,7390
23/07/2020,7945
24/07/2020,7168
25/07/2020,7254
26/07/2020,8181
27/07/2020,8125
28/07/2020,10284
29/07/2020,8670
30/07/2020,9965
31/07/2020,9488
01/08/2020,10673
02/08/2020,11470
03/08/2020,10199
04/08/2020,7129
05/08/2020,10735
06/08/2020,11996
07/08/2020,9486
08/08/2020,9674
09/08/2020,10611
10/08/2020,10142
11/08/2020,12830
12/08/2020,12066
13/08/2020,11286
14/08/2020,11306
15/08/2020,11578
16/08/2020,11643
17/08/2020,8328
18/08/2020,12462
