DATE,NEW CASES
16/03/2020,75
17/03/2020,103
18/03/2020,118
19/03/2020,151
20/03/2020,131
21/03/2020,82
22/03/2020,68
23/03/2020,162
24/03/2020,221
25/03/2020,176
26/03/2020,220
27/03/2020,257
28/03/2020,183
29/03/2020,155
30/03/2020,336
31/03/2020,307
01/04/2020,365
02/04/2020,338
03/04/2020,374
04/04/2020,240
05/04/2020,245
06/04/2020,607
07/04/2020,497
08/04/2020,561
09/04/2020,460
10/04/2020,550
11/04/2020,447
12/04/2020,453
13/04/2020,913
14/04/2020,893
15/04/2020,947
16/04/2020,962
17/04/2020,1111
18/04/2020,782
19/04/2020,742
20/04/2020,1461
21/04/2020,1418
22/04/2020,1362
23/04/2020,1445
24/04/2020,1671
25/04/2020,1091
26/04/2020,1036
27/04/2020,1852
28/04/2020,1890
29/04/2020,1852
30/04/2020,1830
01/05/2020,1465
02/05/2020,1404
03/05/2020,1297
04/05/2020,2565
05/05/2020,2147
06/05/2020,2319
07/05/2020,2446
08/05/2020,2462
09/05/2020,1568
10/05/2020,1470
11/05/2020,3035
12/05/2020,3005
13/05/2020,3164
14/05/2020,3149
15/05/2020,3599
16/05/2020,2208
17/05/2020,1667
18/05/2020,4116
19/05/2020,3649
20/05/2020,3990
21/05/2020,4054
22/05/2020,4061
23/05/2020,2358
24/05/2020,1948
25/05/2020,4722
26/05/2020,4378
27/05/2020,4501
28/05/2020,4271
29/05/2020,4400
30/05/2020,2775
31/05/2020,2140
01/06/2020,5377
02/06/2020,4789
03/06/2020,5009
04/06/2020,4964
05/06/2020,5094
06/06/2020,3098
07/06/2020,2414
08/06/2020,6214
09/06/2020,5813
10/06/2020,5779
11/06/2020,5434
12/06/2020,5691
13/06/2020,3190
14/06/2020,2639
15/06/2020,6615
16/06/2020,6449
17/06/2020,6150
18/06/2020,6108
19/06/2020,6108
20/06/2020,3633
21/06/2020,2540
22/06/2020,6933
23/06/2020,6598
24/06/2020,6323
25/06/2020,6305
26/06/2020,6581
27/06/2020,3728
28/06/2020,3015
29/06/2020,7537
30/06/2020,7202
01/07/2020,7675
02/07/2020,7070
03/07/2020,7089
04/07/2020,3707
05/07/2020,3041
06/07/2020,7887
07/07/2020,7940
08/07/2020,7469
09/07/2020,7087
10/07/2020,7193
11/07/2020,3915
12/07/2020,3254
13/07/2020,8898
14/07/2020,8462
15/07/2020,8852
16/07/2020,8266
17/07/2020,8036
18/07/2020,4424
19/07/2020,3457
20/07/2020,9126
21/07/2020,8657
22/07/2020,8307
23/07/2020,8083
24/07/2020,8030
25/07/2020,4199
26/07/2020,3044
27/07/2020,8485
28/07/2020,8199
29/07/2020,7669
30/07/2020,7590
31/07/2020,6736
01/08/2020,3823
02/08/2020,2532
03/08/2020,7507
04/08/2020,7400
05/08/2020,7170
06/08/2020,6698
07/08/2020,6604
08/08/2020,3675
09/08/2020,2419
10/08/2020,7229
11/08/2020,6901
12/08/2020,6477
13/08/2020,6454
14/08/2020,6211
15/08/2020,3244
16/08/2020,2315
17/08/2020,6912
18/08/2020,6709
19/08/2020,6285
20/08/2020,6021
21/08/2020,6309
22/08/2020,3144
23/08/2020,2338
24/08/2020,7058
25/08/2020,6672
26/08/2020,7080
27/08/2020,6535
28/08/2020,6347
29/08/2020,3156
30/08/2020,2216
31/08/2020,7036
01/09/2020,7150
02/09/2020,6947
03/09/2020,6287
04/09/2020,6037
05/09/2020,2895
06/09/2020,2073
07/09/2020,6412
08/09/2020,6628
09/09/2020,6046
10/09/2020,5712
11/09/2020,5501
12/09/2020,2795
13/09/2020,1898
14/09/2020,6270
15/09/2020,4346
16/09/2020,2224
17/09/2020,6391
18/09/2020,5601
19/09/2020,2808
20/09/2020,1833
21/09/2020,6287
22/09/2020,6168
23/09/2020,5805
24/09/2020,5380
25/09/2020,5268
26/09/2020,2646
27/09/2020,1807
28/09/2020,6249
29/09/2020,5957
30/09/2020,5529
01/10/2020,5280
02/10/2020,5001
03/10/2020,2429
04/10/2020,1735
05/10/2020,5886
06/10/2020,5948
07/10/2020,5760
08/10/2020,5485
09/10/2020,5667
10/10/2020,3017
11/10/2020,2174
12/10/2020,6807
13/10/2020,7132
14/10/2020,6444
15/10/2020,6480
16/10/2020,6605
17/10/2020,3336
18/10/2020,2347
19/10/2020,8218
20/10/2020,8364
21/10/2020,7403
22/10/2020,7268
23/10/2020,7251
24/10/2020,3482
25/10/2020,2459
26/10/2020,8375
27/10/2020,7938
28/10/2020,7177
29/10/2020,6864
30/10/2020,6280
31/10/2020,2998
01/11/2020,2158
02/11/2020,5130
03/11/2020,8081
04/11/2020,7621
05/11/2020,7518
06/11/2020,7080
07/11/2020,3529
08/11/2020,2629
09/11/2020,8928
10/11/2020,8889
11/11/2020,8359
12/11/2020,8132
13/11/2020,7570
14/11/2020,3888
15/11/2020,2621
16/11/2020,3288
17/11/2020,9576
18/11/2020,8707
19/11/2020,8214
20/11/2020,8360
21/11/2020,4188
22/11/2020,2756
23/11/2020,10319
24/11/2020,10237
25/11/2020,9550
26/11/2020,9569
27/11/2020,9554
28/11/2020,4866
29/11/2020,2985
30/11/2020,10905
01/12/2020,11551
02/12/2020,11407
03/12/2020,11150
04/12/2020,10853
05/12/2020,5952
06/12/2020,3143
07/12/2020,13035
08/12/2020,12959
09/12/2020,12388
10/12/2020,12647
11/12/2020,12470
12/12/2020,6843
13/12/2020,3396
14/12/2020,14302
15/12/2020,13935
16/12/2020,13304
17/12/2020,12753
18/12/2020,12491
19/12/2020,6562
20/12/2020,3781
21/12/2020,14361
22/12/2020,13770
23/12/2020,12610
24/12/2020,10309
25/12/2020,2716
26/12/2020,5870
27/12/2020,4342
