DATE,NEW CASES
16/03/2020,1566
17/03/2020,3906
18/03/2020,4703
19/03/2020,5872
20/03/2020,4514
21/03/2020,6941
22/03/2020,9648
23/03/2020,11782
24/03/2020,11884
25/03/2020,14843
26/03/2020,17913
27/03/2020,18989
28/03/2020,19932
29/03/2020,18491
30/03/2020,22221
31/03/2020,23402
01/04/2020,27367
02/04/2020,25911
03/04/2020,34726
04/04/2020,30441
05/04/2020,24745
06/04/2020,41981
07/04/2020,21698
08/04/2020,31663
09/04/2020,31296
10/04/2020,34628
11/04/2020,32486
12/04/2020,27880
13/04/2020,24044
14/04/2020,25739
15/04/2020,27424
16/04/2020,28797
17/04/2020,30593
18/04/2020,29909
19/04/2020,24878
20/04/2020,29267
21/04/2020,26997
22/04/2020,27175
23/04/2020,37073
24/04/2020,30187
25/04/2020,34709
26/04/2020,27209
27/04/2020,24358
28/04/2020,24540
29/04/2020,27395
30/04/2020,31980
01/05/2020,29926
02/05/2020,28802
03/05/2020,28884
04/05/2020,19166
05/05/2020,23925
06/05/2020,24529
07/05/2020,31548
08/05/2020,26147
09/05/2020,29181
10/05/2020,24360
11/05/2020,17692
12/05/2020,23925
13/05/2020,23264
14/05/2020,27424
15/05/2020,25135
16/05/2020,35325
17/05/2020,13511
18/05/2020,23850
19/05/2020,26170
20/05/2020,24513
21/05/2020,21511
22/05/2020,25305
23/05/2020,27681
24/05/2020,15020
25/05/2020,24510
26/05/2020,16585
27/05/2020,21108
28/05/2020,22465
29/05/2020,18918
30/05/2020,24829
31/05/2020,25666
01/06/2020,12153
02/06/2020,25645
03/06/2020,16075
04/06/2020,22082
05/06/2020,25359
06/06/2020,28846
07/06/2020,17540
08/06/2020,17623
09/06/2020,18914
10/06/2020,22441
11/06/2020,23389
12/06/2020,22879
13/06/2020,25672
14/06/2020,20755
15/06/2020,19409
16/06/2020,30728
17/06/2020,25568
18/06/2020,29896
19/06/2020,33318
20/06/2020,33971
21/06/2020,28038
22/06/2020,26994
23/06/2020,36790
24/06/2020,40768
25/06/2020,41532
26/06/2020,46407
27/06/2020,46601
28/06/2020,41546
29/06/2020,36180
30/06/2020,47691
01/07/2020,57295
02/07/2020,56930
03/07/2020,57848
04/07/2020,50752
05/07/2020,43096
06/07/2020,52059
07/07/2020,55858
08/07/2020,67927
09/07/2020,62481
10/07/2020,70546
11/07/2020,62890
12/07/2020,61061
